Date,Release,Version,Sets,Wells,Experiments,Images,Planes,Size_TB,Files (Million),DB Dump (GB),DB Internal (GB),,,,,
27/04/2016,demo1,-,2500,"789,648","358,260","1,336,889","28,915,921",36.97,8.21,,,,,,,
26/05/2016,demo2,0.0.7==0.2.0+0.2.1,3183,"928,192","814,321","2,280,796","31,038,708",38.36,11.1,3.1,89,,,,,
30/06/2016,demo2+,0.2.1,3420,"1,019,980",,"2,373,868","34,629,205",40.73,13.92,N/A,N/A,,,,,
01/11/2016,demo3rc,0.3.0,3412,"1,019,980","987,933","2,373,901","33,850,654",40.93,13.76,N/A,N/A,,,,,
01/11/2016,demo3,0.3.0,3425,"1,022,136","819,977","2,466,530","34,943,226",41.08,13.95,3.3,131,,,,,
16/12/2016,demo31,0.3.1,3425,"1,022,136","990,089","2,466,530","34,943,226",41.08,13.95,3.3,131,,,,,
18/01/2017,demo32,0.3.2,3618,"1,034,260","1,002,213","2,538,319","35,732,772",41.52,14.08,,,,,,,
09/02/2017,demo33,0.3.3,3733,"1,034,260","1,002,328","2,538,777","35,734,146",41.53,14.08,2.4,149,,,,,
16/03/2017,demo34,0.3.4,3758,"1,042,236","1,010,304","2,673,801","36,314,562",42.17,14.52,2.5,165,,,,,
17/04/2017,demo35,0.3.5,3776,"1,042,236","1,010,322","2,674,028","37,273,710",42.66,14.54,2.5,154,,,,,
26/04/2017,prod36,0.3.6 (no change),3776,"1,042,236","1,010,322","2,674,028","37,273,710",42.66,14.54,2.5,154,,,,,
10/05/2017,prod37,0.3.7,3805,"1,042,920","1,011,006","2,680,184","37,298,334",42.77,14.61,2.5,155,,,,,
15/08/2017,prod42,0.4.2,3805,"1,042,920","1,011,006","2,680,184","37,298,334",42.77,14.61,2.5,155,,,,,
22/09/2017,prod43,0.4.3,3799,1035240,1003351,"2,611,160","37,331,471",45.11,14.15,2.8,,,,,,
04/12/2017,prod44,0.4.4,3819,"1,042,920",1011031,"2,680,280","37,677,071.00",45.36,14.61,2.8,,,,,,
12/02/2018,prod45,0.4.5,3932,"1,070,472",1038583,"2,827,112","38,397,311.00",45.72,15.12,2.8,,,,,,
12/03/2018,prod46,0.4.6,3932,"1,070,472",1038583,"2,827,112","38,397,311.00",45.72,15.12,2.8,,,,,,
12/04/2018,prod47,0.4.7,4286,"1,070,472",1038583,"2,890,671","42,240,084.00",46.95,15.4,2.8,157,,,,,
10/05/2018,prod50,0.5.0,4286,"1,070,472",1038583,"2,890,671","42,240,084.00",46.95,15.4,2.8,157,,,,,
29/08/2018,prod51,0.5.1,4288,"1,069,356",1038583,"2,847,146","44,175,081",48.21,15.4,2.9,161,,,,,
01/11/2018,prod52,0.5.2,5288,"1,069,356",1037984,"3,345,018","45,668,697",61.65,15.8,,,,,,,
